Unnamed: 0,hotel_name,hotel_address,latitude,longitude
222,Le Fanal,"50 Avenue Torre d'en Sorra, 66700 Argelès-sur-Mer, France",42.5362902,3.05618472
223,Logis Les Charmettes,"30, Av. Du Tech, 66700 Argelès-sur-Mer, France",42.55589384,3.042714
224,Plage des Pins,"Allée des Pins, 66700 Argelès-sur-Mer, France",42.5572413,3.04597557
225,Les Jardins Du Cèdre,"29 Route de Banyuls, 66660 Port-Vendres, France",42.51312071,3.10967669
226,Intense Boutik-Hôtel,"21 Avenue castellane, 66660 Port-Vendres, France",42.515473,3.105115
227,Hôtel & Spa Les Mouettes,"Route de Collioure, 66700 Argelès-sur-Mer, France",42.53411713,3.06205675
228,Hôtel Le Cottage,"21 Rue Arthur Rimbaud, 66700 Argelès-sur-Mer, France",42.54631954,3.02890062
229,Côté Thalasso Hôtel & Spa Marin,"Route de Cerbère, 66650 Banyuls-sur-Mer, France",42.4789913,3.14063877
230,Résidence Pierre & Vacances La Petite Venise,"11 avenue Joffre, 68000 Colmar, France",48.07093986,7.35386556
231,"The Originals City, Hôtel Colmar Gare","2, rue des Trois Epis, 68000 Colmar, France",48.07705927,7.34933853
232,"Travel Homes - Rapp, charm in the heart of Colmar","1 Avenue de la République, 68000 Colmar, France",48.0779724,7.3540551
233,Hotel L'Europe,"15 route de Neuf Brisach - Horbourg Wihr, 68180 Colmar, France",48.07720622,7.40387186
